mname,abs_cap,gate,gate_th,max_scale,full_score,full_mean,full_std,full_sharpe,full_worst,full_q05,test_score,train_score,roll_mean,roll_median,roll_min,roll_neg_count
all,999.0,0,0.0,1.5,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,-6782.02931528007,787.453137019359,844.0848534410059,435.319757035365,467.6300572855384,-289.2293210659991,3
all,999.0,20,0.0,1.5,610.9072590422738,710.2665369663961,4529.058485732797,2.479610287314034,-12494.702602799982,-6753.87384563008,555.4569097763688,647.78053849298,381.7695653505977,219.11662010538973,0.03247687050060058,0
all,999.0,20,-250.0,1.5,677.7304439283326,775.7193864759989,4663.743832725786,2.629904401266033,-12494.702602799982,-6782.02931528007,717.8549118665929,650.833513255309,335.29993451729916,223.56837849719184,-243.43351677199593,4
all,999.0,40,0.0,1.5,788.6445376985632,879.2450424711993,4711.992509955135,2.9503622403327476,-12494.702602799982,-6782.02931528007,698.4364255906543,848.172171023582,443.1929425585478,383.0451097943775,-242.28875064999912,4
all,999.0,40,-250.0,1.5,836.9504361124522,926.0448240063992,4777.242829230241,3.0649591866589816,-12494.702602799982,-6782.02931528007,787.453137019359,869.5777568617418,448.5063729776782,507.41442282360066,-245.6209009720001,3
all,999.0,40,-500.0,1.5,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,-6782.02931528007,787.453137019359,844.0848534410059,495.3073060337736,467.6300572855384,-213.02563764999854,1
all,0.01,0,0.0,1.5,476.41406842654476,534.9874956247994,2966.00353783935,2.851950417962321,-11820.792395800003,-3039.632369799941,341.69505460989654,563.7757893654159,255.66302640429612,341.69505460989654,-340.55680120400154,4
all,0.01,20,0.0,1.5,358.1087014558554,418.15442667599876,2707.324499641713,2.4421165659177966,-11820.792395800003,-1939.2580022799432,280.2701381730943,409.20299180208804,200.4858591809408,280.2701381730943,-177.82647544400265,4
all,0.01,20,-250.0,1.5,414.1879025004836,473.80513236800135,2842.215191569953,2.63580215496075,-11820.792395800003,-2856.3928580299657,388.17695852768384,431.5042859500704,189.59681333696665,348.20837949246055,-296.42128064599933,5
all,0.01,40,0.0,1.5,489.506676339136,546.3038800863998,2942.3101987596106,2.9357281166153326,-11820.792395800003,-3028.596801369963,343.00190254173606,584.3328616562194,250.80669184828346,343.00190254173606,-230.90596101800293,5
all,0.01,40,-250.0,1.5,476.41406842654476,534.9874956247994,2966.00353783935,2.851950417962321,-11820.792395800003,-3039.632369799941,341.69505460989654,563.7757893654159,220.69145354245418,341.69505460989654,-291.40955785200117,5
all,0.01,40,-500.0,1.5,476.41406842654476,534.9874956247994,2966.00353783935,2.851950417962321,-11820.792395800003,-3039.632369799941,341.69505460989654,563.7757893654159,312.09142734569144,341.69505460989654,-153.10044342600148,3
all,0.0125,0,0.0,1.5,617.9458796682213,675.329725484801,3253.909542644754,3.28156034480978,-11820.792395800003,-3776.027791529888,413.2569037357456,751.2270811007342,409.7736754707964,342.5619706677159,-41.99753432599732,1
all,0.0125,20,0.0,1.5,525.2016906504375,581.2485600232012,3002.233842092148,3.0611695041808016,-11820.792395800003,-3028.596801369963,334.75122019092925,648.7418227919004,327.6827292630638,257.16980197614083,-100.99460033599945,1
all,0.0125,20,-250.0,1.5,570.3922889503792,627.3547086696043,3134.660838108552,3.1644089786510916,-11820.792395800003,-3170.1610347199894,459.19291977198833,643.4552876423206,304.3796567638577,219.9034156480176,-154.07408591000092,4
all,0.0125,40,0.0,1.5,647.946486117106,702.3860476384018,3219.093715216487,3.4499457048449234,-11820.792395800003,-3264.5676540300365,414.55195427472484,799.4931137192734,390.5338027617864,414.55195427472484,-154.07408591000092,1
all,0.0125,40,-250.0,1.5,617.9458796682213,675.329725484801,3253.909542644754,3.28156034480978,-11820.792395800003,-3776.027791529888,413.2569037357456,751.2270811007342,371.9771261260772,342.5619706677159,-153.65062352799913,1
all,0.0125,40,-500.0,1.5,617.9458796682213,675.329725484801,3253.909542644754,3.28156034480978,-11820.792395800003,-3776.027791529888,413.2569037357456,751.2270811007342,456.74998331252675,394.01210724408634,-52.60313889799509,1
all,0.015,0,0.0,0.75,603.4756686444032,644.9702474119956,2674.0866949777965,3.8135917745201624,-8631.019669199944,-3592.251677509982,643.9640390559705,576.8549966485589,430.1059566672074,343.792136795608,46.95245502054069,0
all,0.015,0,0.0,1.0,801.021483015959,855.9740145447998,3544.8866683833253,3.817932358771479,-11481.549028999987,-4538.693298410003,854.98334649344,765.5815040401893,571.6727060655743,456.2322724049939,61.80502039036887,0
all,0.015,0,0.0,1.25,851.1714029931504,906.5015748583967,3654.3577809099133,3.9221798342476375,-11820.792395800003,-4814.123965769888,901.5314320889337,817.9867620431874,592.801364532659,525.5685492150063,57.214314835064826,0
all,0.015,0,0.0,1.5,865.6237699969502,920.8983832784005,3679.425250658248,3.957325106965393,-11820.792395800003,-4927.930521129875,914.3670599903176,833.4906113427268,602.0412417443921,547.8824268327355,62.281403306006126,0
all,0.015,20,0.0,0.75,523.2988180492544,565.1821885479964,2528.1591284875935,3.5347122509641746,-8631.019669199944,-2519.684986879982,567.1515876942071,495.1373820124009,294.42577572505905,201.58714928988798,-68.87812829599977,1
all,0.015,20,0.0,1.0,692.9946348201433,748.8520490672029,3361.5649311047328,3.5222852362966166,-11481.549028999987,-3343.1257334099846,753.4064143402172,654.1708498416208,388.10190563584825,263.4396825941902,-92.56119029200202,1
all,0.015,20,0.0,1.25,729.0587022884547,785.1404526607976,3443.078220764798,3.605541254581528,-11820.792395800003,-3540.846895729977,800.7131631004203,682.7927188628241,405.2817978230868,296.9676421649249,-96.71849057000207,1
all,0.015,20,0.0,1.5,749.8492077935437,805.3329439567997,3463.708617006161,3.6762422294538104,-11820.792395800003,-3540.846895729977,813.4305665127896,708.8824985424527,419.7682508513748,336.196344483671,-97.5735625559984,1
all,0.015,20,-250.0,0.75,546.9352155865838,589.1637621415952,2588.458189630596,3.598859372472633,-8631.019669199944,-2910.1564031699936,658.0355066391231,474.01982596028813,274.0091818428583,197.83785425080842,-107.27742743399953,3
all,0.015,20,-250.0,1.0,714.5862308292943,770.8934455696017,3421.519806007695,3.562421466937867,-11481.549028999987,-3882.8803011900336,873.6253827583222,610.2332655533361,355.2750528446955,232.96722860521746,-143.59655829200318,3
all,0.015,20,-250.0,1.25,784.6235279309949,840.6432109807976,3551.578142484973,3.7424873388774627,-11820.792395800003,-4393.015495929955,921.545011481608,694.6831694059952,393.53165755218436,308.5288783761543,-149.79797614400238,3
all,0.015,20,-250.0,1.5,797.9080272764868,853.8917433928017,3576.2449938439954,3.7752486043061597,-11820.792395800003,-4443.958118099835,934.3570020550187,708.2640584393527,402.0505203624268,307.646299077262,-150.65304812999986,3
all,0.015,40,0.0,0.75,610.9953619000048,651.1822191383965,2640.557342157688,3.899212774901461,-8631.019669199944,-3254.7050402599407,604.8788715010847,615.0637372113778,338.76149117015,364.05357031391793,-107.27742743399953,1
all,0.015,40,0.0,1.0,806.4297016501845,860.0601459128018,3506.882926309427,3.8777299427606193,-11481.549028999987,-4293.622608469985,802.9058489013598,808.8362994283845,445.4694073163134,471.1409177210846,-143.59655829200318,1
all,0.015,40,0.0,1.25,879.0959525003343,932.2381802119979,3624.0871079631593,4.067225598362181,-11820.792395800003,-4443.958118099835,902.7539963254633,863.5686990719911,491.38620698873933,531.8188572458712,-149.79797614400238,1
all,0.015,40,0.0,1.5,894.9644536762983,947.9547054320013,3647.1421389159673,4.109650616372897,-11820.792395800003,-4443.958118099835,915.5890771998091,881.4206578583832,501.30648785759854,552.2694766658765,-150.65304812999986,1
all,0.015,40,-250.0,0.75,603.4756686444032,644.9702474119956,2674.0866949777965,3.8135917745201624,-8631.019669199944,-3592.251677509982,643.9640390559705,576.8549966485589,355.12522140315684,343.792136795608,0.0034576137035887133,0
