name,family,asset,asset_idx,lookback,feature_kind,mode,lag_signal,min_score,avg_score,last_score,positive_windows,avg_mean_pl,avg_sharpe,top_n,z_window,entry_z,exit_z,top_k
market_reversal_w2_cur,market_direction,,,2.0,,reversal,False,157.84841759214683,657.830694709998,660.019106846279,4,807.3303497445033,2.16092316739363,,,,,
cross_sectional_reversal_w40_k10_cur,cross_sectional,,,40.0,,reversal,False,32.06079880581355,79.22640509271115,57.17346183799087,4,110.69622752500001,1.688595967290087,,,,,10.0
ALGO_resid_reversal_top10_w10_e0.5_x0.0_cur,residual_z,ALGO,0.0,,,reversal,False,31.037927759247253,84.34770375156772,185.56581889727138,4,109.63912412499994,1.830064974812843,10.0,10.0,0.5,0.0,
NAYO_absolute_reversal_10_cur,single_asset_return,NAYO,35.0,10.0,absolute,reversal,False,30.709295404901365,46.78377796477872,65.141796071379,4,53.80012047000004,2.6689055045584817,,,,,
ALGO_absolute_reversal_2_cur,single_asset_return,ALGO,0.0,2.0,absolute,reversal,False,30.64089954196968,123.1383815472379,141.6432501811962,4,147.76255008100014,2.329733797114148,,,,,
ULXY_absolute_reversal_60_lag,single_asset_return,ULXY,40.0,60.0,absolute,reversal,True,29.58182583204461,47.38900517059409,61.9342343678623,4,53.48330103999997,2.820550599501007,,,,,
EORC_relative_momentum_40_cur,single_asset_return,EORC,13.0,40.0,relative,momentum,False,26.60720711224443,32.47279960045895,39.46811754396293,4,37.496665872499975,2.5673593092089235,,,,,
ULXY_absolute_reversal_2_cur,single_asset_return,ULXY,40.0,2.0,absolute,reversal,False,26.22029307327418,38.529843165813,36.95541960372663,4,45.34797820999998,2.421052663803269,,,,,
EORC_absolute_momentum_40_lag,single_asset_return,EORC,13.0,40.0,absolute,momentum,True,26.184807286779638,31.258378792396684,39.46811754396293,4,36.4116272375,2.4980664702889968,,,,,
HRND_absolute_momentum_40_lag,single_asset_return,HRND,38.0,40.0,absolute,momentum,True,24.613534000943982,33.73789894801426,29.379899596387876,4,40.53559913999993,2.241208668688385,,,,,
HRND_relative_momentum_60_lag,single_asset_return,HRND,38.0,60.0,relative,momentum,True,24.613534000943982,28.56430189929226,25.494253683287912,4,35.89791875999997,1.9803538860919165,,,,,
HRND_absolute_momentum_40_cur,single_asset_return,HRND,38.0,40.0,absolute,momentum,False,24.21235431090981,29.565728213820982,29.379899596387876,4,36.80422623999995,2.03170671372463,,,,,
EELT_absolute_reversal_5_lag,single_asset_return,EELT,37.0,5.0,absolute,reversal,True,22.26738807362121,33.96365577042182,32.18836444375552,4,42.97058848249996,1.9849710762040382,,,,,
MTNS_relative_reversal_60_lag,single_asset_return,MTNS,33.0,60.0,relative,reversal,True,21.804684820634183,27.412449985176654,23.13601276918145,4,31.32113139249995,2.663135605908797,,,,,
ALGO_resid_reversal_top10_w10_e1.0_x0.0_cur,residual_z,ALGO,0.0,,,reversal,False,20.923091712091278,67.30990059883678,163.14482089224597,4,91.62142779700036,1.649266691506094,10.0,10.0,1.0,0.0,
ULXY_absolute_reversal_20_cur,single_asset_return,ULXY,40.0,20.0,absolute,reversal,False,20.65255737304762,31.720375818172705,52.55087353911609,4,39.307058285000075,2.0640341344476956,,,,,
EORC_relative_momentum_40_lag,single_asset_return,EORC,13.0,40.0,relative,momentum,True,20.084888857526256,29.219498712818016,39.46811754396293,4,34.596199252499986,2.3729148219489247,,,,,
ULXY_relative_reversal_60_lag,single_asset_return,ULXY,40.0,60.0,relative,reversal,True,19.570721093647123,38.712463239530734,64.37911282726401,4,45.71562673499999,2.405162225848592,,,,,
ULXY_absolute_reversal_40_lag,single_asset_return,ULXY,40.0,40.0,absolute,reversal,True,18.682406327282127,29.652702161890247,19.242975776668338,4,37.420305065,1.9735592230222594,,,,,
SPLZ_absolute_reversal_5_cur,single_asset_return,SPLZ,19.0,5.0,absolute,reversal,False,18.09244085452293,27.690898460663398,22.03829600800346,4,33.43707106750001,2.231063235631574,,,,,
NAYO_resid_reversal_top10_w40_e1.0_x0.0_cur,residual_z,NAYO,35.0,,,reversal,False,17.428476986820026,23.59609729093301,19.43502588830682,4,31.049533845000013,1.8045885881795298,10.0,40.0,1.0,0.0,
MDGI_relative_reversal_20_lag,single_asset_return,MDGI,22.0,20.0,relative,reversal,True,17.290288785458618,26.981589617299186,28.355016918615636,4,31.79841823000001,2.3753643156680386,,,,,
HRND_absolute_momentum_60_cur,single_asset_return,HRND,38.0,60.0,absolute,momentum,False,17.126909649708942,27.79436704852077,29.379899596387876,4,35.229111159999924,1.944581214863839,,,,,
EORC_resid_momentum_top10_w40_e0.5_x0.0_cur,residual_z,EORC,13.0,,,momentum,False,17.07615725156511,27.689081718893362,33.979269382039845,4,32.65076052999999,2.385510588537927,10.0,40.0,0.5,0.0,
ULXY_absolute_reversal_60_cur,single_asset_return,ULXY,40.0,60.0,absolute,reversal,False,16.73645617638735,28.018830850111442,36.13309393486321,4,35.944615250000034,1.8752486616511468,,,,,
MHRM_resid_reversal_top10_w20_e0.5_x0.0_cur,residual_z,MHRM,49.0,,,reversal,False,16.640054695991296,24.86898211362143,24.375933000280124,4,29.36054165500008,2.3648283016851015,10.0,20.0,0.5,0.0,
