vol_window,soft_cut,hard_cut,high_scale,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
3,0.004,0.006,0.25,241.579829847261,270.9476859480012,1493.692625343288,2.868099499891302,29622071.410000008,172.8470824523797,234.18289294094546,"[np.float64(301.94486427336574), np.float64(258.27391470072877), np.float64(172.8470824523797), np.float64(203.66571033730764)]",3.1239825226154347
3,0.004,0.006,0.5,304.7208596801017,336.3341297255992,1712.8706284398074,3.1046766963136463,35024389.79000001,219.7120556789668,301.1686386225589,"[np.float64(393.8812928663206), np.float64(325.3098075217394), np.float64(219.7120556789668), np.float64(265.7713984232086)]",3.2986098306962313
3,0.004,0.006,0.75,364.4191587864938,401.70570787280195,2031.6715625113538,3.12625576251621,40429573.59000002,262.9726305522804,364.77579893188454,"[np.float64(483.49881694760205), np.float64(389.1333836962282), np.float64(262.9726305522804), np.float64(323.4983645314275)]",3.26688736940807
3,0.004,0.007,0.25,243.38945770592676,273.41518464800157,1518.408123194166,2.847109143964404,31777386.500000015,183.54135474383935,236.9411015070421,"[np.float64(298.77105163482713), np.float64(244.2827042560744), np.float64(183.54135474383935), np.float64(221.16929539342752)]",3.08252385834738
3,0.004,0.007,0.5,307.05602473899273,341.19910448160164,1798.9555045605211,2.9988687964664624,39353659.42,239.0634504738156,305.2836255995428,"[np.float64(387.01925018803723), np.float64(295.74861834003286), np.float64(239.0634504738156), np.float64(299.30318339628553)]",3.1698672260166103
3,0.004,0.007,0.75,366.79171776343287,408.9932459216011,2193.5142944601434,2.9481234929812574,46933542.54000001,290.83485832845497,369.86219635483366,"[np.float64(472.3844788579644), np.float64(343.56943344235674), np.float64(290.83485832845497), np.float64(372.66001479055853)]",3.0833315162206074
3,0.004,0.008,0.25,250.97634443858732,282.41863846959967,1580.5348525923173,2.8252656048134215,34739442.250000015,141.63820612680541,235.6231680276142,"[np.float64(387.52829691587186), np.float64(221.79441479757355), np.float64(141.63820612680541), np.float64(191.5317542702059)]",2.9742292007524878
3,0.004,0.008,0.5,319.4252532993039,359.2180931264013,2004.684582914297,2.8332321221589067,45309520.199999996,151.59110993133612,299.6783061291882,"[np.float64(561.8990593314866), np.float64(248.301641284963), np.float64(151.59110993133612), np.float64(236.921413968967)]",2.8969877425420543
3,0.004,0.008,0.75,383.07386751173067,436.1037117967992,2565.5394680179725,2.6877018313753465,55880384.180000015,156.97887641221706,359.1551215341572,"[np.float64(733.4232493016399), np.float64(270.31855225855475), np.float64(156.97887641221706), np.float64(275.89980816421706)]",2.7149298012798297
3,0.004,0.01,0.25,315.2477223053089,344.2001787311998,1649.2930369324138,3.2997669651601162,38507470.26000002,193.170575122251,304.65674931317693,"[np.float64(474.3782108808799), np.float64(288.0736610446243), np.float64(193.170575122251), np.float64(263.0045502049524)]",3.5037487259581295
