top_n,window,start_day,end_day,days,total_pl,mean_pl,std_pl,ann_sharpe,score,worst_day,best_day,positive_day_rate,max_drawdown
5,1-125,1,125,124,15048.505159000015,121.35891257258076,440.02696316002465,4.360762069380663,115.29589188283366,-1208.0823089999994,1868.4446119999975,0.5483870967741935,-1943.609246999998
5,125-250,125,250,125,16270.812465000017,130.16649972000013,458.4859419500138,4.488933863666281,124.01220870446522,-1415.5021439999946,1899.8676160000068,0.6,-3417.373702999992
5,250-375,250,375,125,18314.900585999985,146.5192046879999,474.1019271553829,4.886442990756354,140.62953591984365,-983.9589569999953,1255.280782999991,0.624,-3047.6797630000146
5,375-500,375,500,125,16543.875399000026,132.3510031920002,475.03470547924064,4.405263614083731,125.86522698290983,-1331.5138350000034,1585.5141180000037,0.608,-2718.9917140000016
5,1-250,1,250,249,31318.287440000047,125.77625477911666,449.41489483957935,4.425080757610647,119.66507559724855,-1415.5021439999982,1899.8676160000032,0.5742971887550201,-3417.3737029999975
5,250-500,250,500,250,34856.72683199999,139.42690732799997,474.6278567218609,4.644761027249178,133.25041615487083,-1331.5138350000052,1585.5141180000028,0.616,-3047.6797630000146
10,1-125,1,125,124,20901.884916999996,168.56358804032254,661.2988168992165,4.030287482420939,158.78794198926514,-1773.346821999985,2628.960424000001,0.6209677419354839,-3492.2510479999946
10,125-250,125,250,125,42550.49272900006,340.4039418320005,685.9406049813964,7.8465378260978325,334.9634116266138,-1047.5805189999955,3156.830043000009,0.696,-2834.1258650000054
10,250-375,250,375,125,34504.52146000001,276.0361716800001,668.745134594023,6.526425195093071,269.70422825303103,-1460.1147980000023,1687.6243440000035,0.648,-2585.0559280000125
10,375-500,375,500,125,27036.767683000035,216.2941414640003,675.2488866415059,5.064666859199413,208.1782975693066,-2286.7186279999987,1976.2070210000093,0.656,-3186.3409949999914
10,1-250,1,250,249,63452.190533000015,254.82807442971892,679.2387254175985,5.931913897116169,247.78621321355135,-1773.346821999985,3156.830043000009,0.6586345381526104,-3492.2510479999946
10,250-500,250,500,250,61540.216347000045,246.1608653880002,672.6687143587196,5.7861246465601885,239.02147146201014,-2286.7186280000024,1976.2070210000093,0.652,-3186.3409949999914
15,1-125,1,125,124,34236.98137700002,276.1046885241937,838.3808264570005,5.207178294365417,266.2840384134188,-2183.1435489999894,2590.793456999985,0.6290322580645161,-2770.438877999999
15,125-250,125,250,125,60225.716643999964,481.80573315199973,925.9741481705857,8.227030471086831,474.7909186377502,-2665.1404679999905,3271.8145159999985,0.672,-3252.1121439999915
15,250-375,250,375,125,49595.235692999995,396.76188554399994,910.2376740250196,6.891998007036937,388.5811668017729,-2195.1199919999854,2367.255972999992,0.664,-3511.4105190000046
15,375-500,375,500,125,38576.56504300005,308.6125203440004,881.0584761482738,5.538329776920811,298.86884030246796,-2544.129144999999,2285.4217030000073,0.616,-4514.017389999994
15,1-250,1,250,249,94462.52634199994,379.36757567068247,889.406575558114,6.744191253492987,371.2063453180309,-2665.1404680000123,3271.8145159999985,0.6506024096385542,-3252.112143999999
15,250-500,250,500,250,88171.63714699994,352.68654858799977,896.8503877770224,6.217830804567866,343.7941148488478,-2544.129144999999,2367.255972999992,0.64,-4514.017389999994
20,1-125,1,125,124,32892.15068399994,265.25927970967695,948.9350502518765,4.419815108292276,252.3417093323641,-3307.957070000004,3012.8420650000116,0.6209677419354839,-3307.957070000004
20,125-250,125,250,125,80247.12632700014,641.977010616001,1100.6693153892857,9.22215932900177,634.5163450664919,-2322.6355980000008,3693.061148000008,0.728,-4072.745883999971
20,250-375,250,375,125,57375.34361599987,459.00274892799894,993.4285164450339,7.305478526452171,450.56054532991527,-2094.771762999988,2931.0659649999943,0.72,-4194.012170000013
20,375-500,375,500,125,49570.67760300004,396.56542082400034,953.5809088115917,6.575477547206135,387.60083749569645,-2277.7578379999904,2486.091840999994,0.664,-3604.291886999992
20,1-250,1,250,249,113142.02940400007,454.3856602570284,1045.0195648204974,6.874960387839602,444.9712832973465,-3307.957070000004,3693.061148000008,0.6746987951807228,-4072.745883999967
20,250-500,250,500,250,106946.82914099982,427.7873165639993,974.2092156425149,6.942976173662657,419.0933214784496,-2277.757838000005,2931.0659649999943,0.692,-4194.012170000013
25,1-125,1,125,124,33983.600504999966,274.06129439516104,1086.7849080303486,3.9872559067522757,257.8429316328794,-3322.952530999988,3262.759530000003,0.5967741935483871,-5156.508720000023
25,125-250,125,250,125,96137.74783400014,769.1019826720011,1218.029919245887,9.983802449206912,761.4626286631118,-2605.4635109999945,3692.5843359999853,0.736,-4941.104855000034
25,250-375,250,375,125,79920.88933899978,639.3671147119983,1067.3751018250482,9.471161263003982,632.3180882174154,-2176.7342199999985,3012.395352000007,0.736,-3742.238798999999
25,375-500,375,500,125,59092.30379000002,472.73843032000013,1041.3531240634697,7.177825382952841,463.7375195394528,-2135.250853999998,2790.9726990000127,0.664,-5804.931420999987
25,1-250,1,250,249,130128.985354,522.6063668835342,1180.7855574193222,6.997995650749127,512.1483711729028,-3322.952530999988,3692.5843359999853,0.6666666666666666,-5156.508720000023
25,250-500,250,500,250,139014.93998799985,556.0597599519995,1057.7351870390287,8.312171979156805,548.1264986752195,-2176.7342199999985,3012.395352000007,0.7,-5804.931420999987
30,1-125,1,125,124,41777.289548000015,336.9136253870969,1130.1900937366358,4.713430231216592,322.40176010221444,-2910.07555999999,3871.401106000005,0.6451612903225806,-4226.685786000013
30,125-250,125,250,125,108427.38857600011,867.4191086080009,1254.0057145496417,10.937031774768935,860.2276916287532,-2532.2315459999954,4479.876917000009,0.76,-3007.430479999981
30,250-375,250,375,125,87679.97992599981,701.4398394079985,1177.568091396637,9.41834085993791,693.6204457389326,-2440.7488189999967,3760.8994209999946,0.736,-2470.968549999987
30,375-500,375,500,125,73378.4064170002,587.0272513360015,1179.4554669650413,7.869492383576817,577.6988322066026,-2224.2745640000066,3526.0252570000084,0.704,-5851.083434
30,1-250,1,250,249,150213.25318500013,603.2660770481933,1223.088138205234,7.798680973990474,593.5075573322389,-2910.07555999999,4479.876917000016,0.7028112449799196,-4226.685786000013
30,250-500,250,500,250,161061.08247900003,644.2443299160001,1179.9055655114835,8.633230962430298,635.7149839855,-2440.7488189999967,3760.8994209999946,0.72,-5851.083433999971
