kind,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe,low_scale,mid_cut,mid_scale,high_cut,high_scale,cap_move,min_scale,max_scale,b
baseline,804.4913878140055,885.2020694736019,4433.199064280688,3.157149823910946,100436805.86,366.72380267675976,776.7214520822761,"[np.float64(1456.802976205394), np.float64(508.5132168986071), np.float64(366.72380267675976), np.float64(774.845812548343)]",3.1133451006270474,,,,,,,,,
tier,536.6732774671848,598.1655627168021,3201.4501354583217,2.954232482197623,73776642.28,188.32467276028166,501.95549516101994,"[np.float64(1025.4640668438835), np.float64(241.40631446264985), np.float64(188.32467276028166), np.float64(552.626926577265)]",2.8729007924229544,0.25,0.002,0.5,0.005,0.75,,,,
tier,680.3882767174797,763.5664583383995,4221.270151788691,2.8600504900571937,97565211.05000001,216.34663696330932,627.6293853527088,"[np.float64(1323.7648546956466), np.float64(252.0339646014171), np.float64(216.34663696330932), np.float64(718.3720851504622)]",2.76282805252858,0.25,0.002,0.5,0.005,1.0,,,,
tier,680.3882767174797,763.5664583383995,4221.270151788691,2.8600504900571937,97565211.05000001,216.34663696330932,627.6293853527088,"[np.float64(1323.7648546956466), np.float64(252.0339646014171), np.float64(216.34663696330932), np.float64(718.3720851504622)]",2.76282805252858,0.25,0.002,0.5,0.005,1.25,,,,
tier,522.7567263647074,583.4857417120003,3144.4779757259544,2.9339431541361867,72362134.32,159.69981403993916,485.72240001740965,"[np.float64(1005.530387005369), np.float64(242.9395583642443), np.float64(159.69981403993916), np.float64(534.7198406600863)]",2.8289779624954363,0.25,0.002,0.5,0.0075,0.75,,,,
tier,652.155298515939,734.1935223496007,4117.306177025582,2.819469422655048,94777595.10999998,160.2278145563188,595.2291410943775,"[np.float64(1283.896930703869), np.float64(255.02057473913655), np.float64(160.2278145563188), np.float64(681.7712443781855)]",2.6888135953435315,0.25,0.002,0.5,0.0075,1.0,,,,
tier,652.155298515939,734.1935223496007,4117.306177025582,2.819469422655048,94777595.10999998,160.2278145563188,595.2291410943775,"[np.float64(1283.896930703869), np.float64(255.02057473913655), np.float64(160.2278145563188), np.float64(681.7712443781855)]",2.6888135953435315,0.25,0.002,0.5,0.0075,1.25,,,,
tier,469.32189527121807,527.2440182719994,2928.6568834247805,2.8465130037514257,68491994.79999997,137.19519351367413,430.0321634704634,"[np.float64(908.6536987333586), np.float64(194.12948700445816), np.float64(137.19519351367413), np.float64(480.1502746303624)]",2.699083572968481,0.25,0.002,0.5,0.01,0.75,,,,
tier,543.9521180232655,621.678234367202,3715.684364343189,2.6454335185435416,87080396.24999997,114.18735802886735,483.21509928208985,"[np.float64(1089.1558328056346), np.float64(157.53349761881256), np.float64(114.18735802886735), np.float64(571.9837086750449)]",2.442104299216499,0.25,0.002,0.5,0.01,1.0,,,,
tier,543.9521180232655,621.678234367202,3715.684364343189,2.6454335185435416,87080396.24999997,114.18735802886735,483.21509928208985,"[np.float64(1089.1558328056346), np.float64(157.53349761881256), np.float64(114.18735802886735), np.float64(571.9837086750449)]",2.442104299216499,0.25,0.002,0.5,0.01,1.25,,,,
