adds,removes,excluded,n_active,full_score,full_mean,full_std,full_sharpe,test_score,test_mean,test_std,test_sharpe,cv_mean_score,cv_min_score,cv_mean_sharpe
none,none,"1,5,17,18,34,36",45,826.8190247609373,902.5572880392028,4319.139412957711,3.3040572161504262,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,798.7446854525589,432.86172466995146,3.2351317669244146
none,SMAH,"1,5,10,17,18,34,36",44,824.1038982386092,897.3272165271994,4229.164358636066,3.3547972720551598,809.319127159481,882.0452601520019,4180.673201206153,3.335912527952864,798.9903756633386,435.89932271709745,3.289748655604934
none,FARS,"1,5,17,18,34,36,48",44,823.0414822002308,897.4415465672007,4266.305673840014,3.326015024448577,799.0609024229009,873.0333819419914,4199.96819644829,3.2866605545145084,798.8027492467834,441.86693464129314,3.265419006672922
none,EORC,"1,5,13,17,18,34,36",44,817.2476780557778,890.9598677351978,4230.784991745689,3.3297159880997174,771.9838529901581,847.0902982719941,4177.670733069915,3.2060146640643192,794.5810611929162,444.04821826668467,3.277876560452123
none,LSST,"1,2,5,17,18,34,36",44,818.594442158667,892.5490617792038,4241.801683484019,3.326991888444867,798.3116921932461,872.1867473720084,4195.09839785182,3.287284832367413,793.6157397232463,448.3519228972559,3.263249130317746
none,HETT,"1,5,7,17,18,34,36",44,821.8675948786846,896.464862515199,4270.353306343942,3.319246212773906,795.031150443355,870.1337251719902,4228.548794277552,3.25360374721724,793.3967833695451,437.99967346158786,3.2448281182908536
none,ITPA,"1,5,17,18,34,36,43",44,822.3699540625864,896.4483438112046,4254.097339647474,3.3318684844245117,786.9307567109937,861.2275228219968,4184.124515674553,3.25449272068698,791.588284853027,416.57824198762154,3.2516063863294526
none,NPCK,"1,5,11,17,18,34,36",44,816.9908567326547,891.1664574432019,4245.714373549028,3.3187769264708518,788.1601570220935,862.8614383819979,4200.179513520233,3.248203370395067,791.0907105543426,443.41010918797093,3.256590184889438
none,CCNS,"1,5,17,18,32,34,36",44,823.391847122485,897.9497456552009,4272.337805238029,3.3231997914091864,788.0670126221481,862.8492147319985,4202.642643318653,3.2462536401693547,789.2199960625511,406.2269439779718,3.2375209243960095
none,HRND,"1,5,17,18,34,36,38",44,822.5168246679093,896.4420902072047,4249.289257335522,3.335615233304246,786.7242558230189,861.3815541420028,4195.564832607464,3.2461989675076777,788.615280481305,393.009770191072,3.2419614055638837
none,"SMAH,FARS","1,5,10,17,18,34,36,48",43,820.3126607515553,892.2114750552024,4176.466150121135,3.3777604250798383,811.3112164264703,881.9367444619991,4114.286733582773,3.3893224333749505,799.0194381610177,444.86761481797095,3.3213345973732222
none,"SMAH,EORC","1,5,10,13,17,18,34,36",43,814.529323129523,885.7297962231983,4140.562427788486,3.382298415239824,784.2910178354317,855.9936607919965,4092.319321993883,3.3072805636406373,794.8168136215387,447.0719705996587,3.3347211556967458
none,"SMAH,LSST","1,2,5,10,17,18,34,36",43,815.8541202732431,887.3189902672038,4152.310571676236,3.3787802862159415,810.5806296513344,881.090109892005,4108.809221373239,3.3905827953914756,793.8176200141852,451.342661927045,3.319075690809314
none,"SMAH,HETT","1,5,7,10,17,18,34,36",43,819.1472139368378,891.2347910032034,4180.337741583135,3.370938000438853,807.321544538293,879.0370876920002,4142.481504305744,3.355186187287222,793.6299644858019,441.01674598814964,3.300222384483251
none,"SMAH,ITPA","1,5,10,17,18,34,36,43",43,819.6419715165537,891.2182722992061,4164.15240953122,3.3839775249039303,799.1996272942649,870.1308853420039,4098.69671371611,3.356671220550984,791.8272704098381,419.6211102511925,3.307507202703151
none,"SMAH,NPCK","1,5,10,11,17,18,34,36",43,814.2610232517646,885.9363859311994,4156.001248786115,3.370519730208007,800.4070849103795,871.7648009019973,4115.611217028588,3.349153029089886,791.3087449895706,446.37225171724873,3.3123591401306176
none,"SMAH,CCNS","1,5,10,17,18,32,34,36",43,820.6736881552762,892.7196741431982,4182.199542927161,3.3750511583193936,800.356884813891,871.7525772519905,4116.777608890868,3.3481571779400645,789.4936819821512,409.36246945057746,3.2928794797491387
none,"SMAH,HRND","1,5,10,17,18,34,36,38",43,819.82277196005,891.2120186951987,4158.219876774922,3.3887816670474,799.0666035754037,870.2849166619982,4108.0508641884735,3.3496208310524387,788.8999857077383,396.15004107710854,3.2982873314011347
none,"FARS,EORC","1,5,13,17,18,34,36,48",43,813.4720304409492,885.8441262632031,4177.741616241715,3.3526308568043186,774.0416372734048,846.9817825819971,4110.978678451589,3.25760819883097,794.6313792929158,453.0330425136856,3.3092564331234673
none,"FARS,LSST","1,2,5,17,18,34,36,48",43,814.826358196591,887.4333203072042,4188.536784808422,3.3499891583557835,800.3110131921344,872.0782316820015,4129.135273452705,3.3393838265574134,793.6631753732311,457.3356787676625,3.2948425436401374
none,"FARS,HETT","1,5,7,17,18,34,36,48",43,818.0855911231339,891.3491210432011,4217.570908406484,3.341607615022431,797.0546191481326,870.025209481999,4162.284190461733,3.3049897097764434,793.4449268413825,446.9895033078786,3.275531121284642
none,"FARS,ITPA","1,5,17,18,34,36,43,48",43,818.5831223804718,891.3326023392044,4201.393410130815,3.3544123353938073,788.9232468763421,861.1190071320045,4118.808971191061,3.3056854761249816,791.642936752269,425.5929686719062,3.282517969941819
none,"FARS,NPCK","1,5,11,17,18,34,36,48",43,813.2184747749429,886.0507159712042,4192.632573215217,3.3415024283217902,790.1968225401932,862.7529226920003,4133.574504241831,3.3001271549287097,791.1438915089805,452.39213858178334,3.287768316963909
none,"FARS,CCNS","1,5,17,18,32,34,36,48",43,819.6012876322048,892.8340041831988,4219.801118137695,3.3454053243547692,790.0737728430341,862.7406990419945,4136.993729974571,3.2973528813099264,789.2858505805159,415.27041316773983,3.267878055748203
