portfolio,n_signals,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,signals
market0.75_low_corr_top30_0.25,30,1052.608465197593,3877.9730953427384,4.291726828115455,998.4031587056965,-11363.601662799949,712.7108323225394,689.7996078441145,267.93787578576774,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur;HTRK_own_z_l2_v60_reversal_e1.0
market0.75_stable_top30_0.25,30,1052.5688319183967,3897.073726210179,4.270531091802029,997.8542201307127,-11363.601662799832,709.3254972002849,688.2840804662009,261.5445587134143,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur
market0.75_low_corr_top20_0.25,20,1029.0086627456058,3917.956501789865,4.15268916951173,972.608640775012,-11562.618470800051,677.4246918740565,660.4735184409203,224.00988982234603,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5
market0.75_stable_top20_0.25,20,1026.2067019944022,3943.047609567521,4.115028335643023,968.9836783940552,-11590.939526800008,671.9062701259276,655.7454501631554,219.8306604519641,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur
market0.75_stable_top15_0.25,15,1020.9331870175964,3944.3613532036575,4.092518307441642,963.4116312798051,-11683.800631800026,664.6244697306819,647.6692961457674,208.24444943154793,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
market0.75_low_corr_top15_0.25,15,1020.9331870175964,3944.3613532036575,4.092518307441642,963.4116312798051,-11683.800631800026,664.6244697306819,647.6692961457674,208.24444943154793,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
market0.75_stable_top10_0.25,10,1007.6797805895968,3964.396758282964,4.018976218896417,948.9303751489862,-11783.4572758,647.9432932895829,629.9658981230032,201.45821315487652,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
market0.75_low_corr_top10_0.25,10,1007.6797805895968,3964.396758282964,4.018976218896417,948.9303751489862,-11783.4572758,647.9432932895829,629.9658981230032,201.45821315487652,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
market0.50_stable_top30_0.50,30,984.1981834927974,3024.3557425298004,5.145406482893117,948.3768645786995,-8479.887372800062,769.7959394782341,721.8263214544558,480.0416152825806,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur
market0.75_stable_top5_0.25,5,992.1275877176004,3981.2249749892085,3.9402230800642157,932.0909099959881,-11756.138898799953,622.8312094673303,613.4897702451502,165.1301431869814,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag
